title_field,field_city,field_valuation,field_cap_rate,field_land_area,field_building_areas,field_site_utilisation,field_car_spaces,field_retail_liquour_outlet
Colyton Hotel,Sydney,"13,100,000",6.64%,"19,300","3,477",18%,343,DM
Blacktown Inn Hotel,Sydney,"8,720,000",6.43%,"14,559","3,751",26%,205,DM
Pritchards Hotel,Sydney,"18,910,000",7.89%,"9,833","1,245",13%,90,BWS
Brown Jug Hotel,Sydney,"9,230,000",6.52%,"8,140","1,377",17%,142,BWS
Pioneer Tavern,Sydney,"9,530,000",6.28%,"7,493","1,957",26%,131,DM
Smithfield Hotel,Sydney,"6,810,000",6.38%,"5,507","2,173",39%,55,BWS
Melton Hotel,Sydney,"5,430,000",5.94%,"3,598",652,18%,65,N
Narrabeen Sands Hotel,Sydney,"11,250,000",6.56%,"2,240","1,690",75%, -   ,BWS
Crows Nest Hotel,Sydney,"13,030,000",6.62%,835,835,100%, -   ,N
New Brighton Hotel,Sydney,"14,620,000",5.60%,417,417,100%, -   ,N
Racehorse Hotel,Brisbane,"3,050,000",5.78%,"29,900","4,011",13%,180,DM
Nudgee Beach Hotel,Brisbane,"4,240,000",6.37%,"24,000","2,263",9%,160,BWS
Springwood Tavern,Brisbane,"13,320,000",6.61%,"22,650","5,796",26%,265,DM
Vale Hotel,Townsville,"10,090,000",6.84%,"22,169","5,465",25%,81,DM
Dalrymple Hotel,Townsville,"5,570,000",6.55%,"21,220","5,250",25%,310,DM
Kirwan Tavern,Townsville,"8,480,000",6.37%,"20,250","3,810",19%,125,DM & BWS
Albany Creek Tavern,Brisbane,"11,800,000",6.66%,"20,080","2,337",12%,181,DM
Redland Bay Hotel,Brisbane,"8,210,000",5.15%,"18,300","1,411",8%,70,BWS
Wilsonton Hotel,Toowomba,"7,790,000",6.66%,"16,800","3,608",21%,130,BWS
Mount Pleasant Hotel,Mackay,"3,280,000",6.57%,"16,151","1,260",8%,105,BWS
Balaclava Hotel,Cairns,"5,820,000",6.55%,"14,100","2,800",20%,90,DM
Edge Hill Tavern,Cairns,"4,560,000",6.55%,"13,610","2,755",20%,158,BWS
Camp Hill Hotel,Brisbane,"3,420,000",6.39%,"10,790","2,010",19%,160,BWS
Hamilton Hotel,Brisbane,"9,300,000",6.05%,"10,006","3,255",33%,130,DM
Lawnton Tavern,Brisbane,"6,940,000",6.91%,"9,498","2,037",21%,135,BWS
Pelican Waters Hotel,Sunshine Coast,"6,560,000",6.71%,"8,695","1,522",18%,105,BWS
Mount Gravatt Hotel,Brisbane,"4,980,000",6.35%,"7,478","1,912",26%,60,BWS
Holland Park Hotel,Brisbane,"6,220,000",6.29%,"7,277","2,550",35%,120,DM
Kedron Park Hotel,Brisbane,"3,260,000",6.21%,"6,028","1,296",21%,30,BWS
Chardons Corner Hotel,Brisbane,"2,110,000",5.71%,"5,663","1,765",31%,48,BWS
Miami Hotel,Gold Coast,"8,480,000",5.62%,"5,544","1,469",26%,90,BWS
Alderley Arms Hotel,Brisbane,"5,220,000",6.18%,"5,423","1,550",29%,33,DM
Noosa Reef Hotel,Sunshine Coast,"11,780,000",6.33%,"5,069","1,831",36%, -   ,BWS
Palm Beach Hotel,Gold Coast,"11,080,000",6.62%,"5,050","2,235",44%,50,BWS
Anglers Arms Hotel,Brisbane,"7,570,000",6.43%,"4,249","2,075",49%,54,BWS
Edinburgh Castle Hotel,Brisbane,"4,790,000",6.90%,"4,140","1,295",31%,65,BWS
Breakfast Creek Hotel,Brisbane,"14,240,000",5.98%,"4,035","2,600",64%,120,Breakfast Creek Bottleshop
Four Mile Creek,Brisbane,"6,000,000",6.73%,"3,644","1,267",35%,35,BWS
Stones Corner Tavern,Brisbane,"8,740,000",6.60%,"2,716","1,609",59%,35,BWS
Burleigh Heads Hotel,Gold Coast,"11,160,000",6.26%,"2,496","2,393",96%, -   ,BWS
Royal Exchange Hotel,Brisbane,"8,850,000",6.20%,"2,453","1,368",56%,25,BWS
Prince of Wales,Brisbane,"5,730,000",6.70%,"1,976",790,40%,7,BWS
Gepps Cross Hotel,Adelaide,"4,090,000",6.75%,"16,550","1,939",12%,60,BWS
Finsbury Hotel,Adelaide,"2,940,000",6.44%,"8,860","2,828",32%,149,BWS
Eureka Hotel,Adelaide,"5,700,000",6.75%,"7,747","1,827",24%,105,BWS
Aberfoyle Hub Tavern,Adelaide,"5,510,000",6.76%,"7,493","1,381",18%,75,BWS
Hendon Hotel,Adelaide,"2,990,000",6.73%,"6,219","1,351",22%,116,BWS
Stockade Tavern,Adelaide,"7,350,000",6.80%,"6,219","1,517",24%,126,BWS
Exeter Hotel,Adelaide,"3,480,000",6.50%,"4,360","1,250",29%,63,BWS
Burvale Hotel,Melbourne,"15,440,000",6.75%,"45,280","6,151",14%,373,DM
Village Green Hotel,Melbourne,"17,300,000",7.07%,"37,412","5,065",14%,570,BWS
Sandown Park Hotel,Melbourne,"9,690,000",6.54%,"37,218","4,630",12%,286,BWS
Stamford Inn Hotel,Melbourne,"18,370,000",7.00%,"35,390","4,548",13%,280,DM
Gateway Hotel,Corio,"6,060,000",6.25%,"27,050","4,615",17%,310,DM
Bayswater Hotel,Melbourne,"16,400,000",6.70%,"25,352","3,255",13%,170,BWS
Ferntree Gully Hotel & Motel,Melbourne,"8,610,000",6.47%,"22,754","2,435",11%,376,BWS
The Vale Hotel,Melbourne,"8,860,000",6.54%,"20,941","3,572",17%,290,DM
Keysborough Hotel,Melbourne,"13,870,000",7.00%,"20,234","3,213",16%,245,BWS
Sandbelt Hotel,Melbourne,"16,490,000",7.06%,"19,100","5,290",28%,368,BWS
Meadow Inn Hotel,Melbourne,"12,830,000",6.81%,"18,264","4,271",23%,191,DM
Morwell Hotel,Morwell,"3,080,000",6.21%,"18,254","3,050",17%,160,BWS
Prince Mark Hotel,Melbourne,"15,790,000",6.45%,"16,750","4,126",25%,240,DM & BWS
Doncaster Inn Hotel,Melbourne,"19,030,000",6.43%,"16,240","3,925",24%,368,BWS
Deer Park Hotel,Melbourne,"11,400,000",6.79%,"15,095","3,152",21%,184,BWS
Blackburn Hotel,Melbourne,"14,070,000",6.75%,"11,230","1,878",17%,196,BWS
Somerville Hotel,Mornington Peninsula,"4,940,000",6.20%,"10,402","1,762",17%,152,BWS
Sylvania Hotel,Melbourne,"9,640,000",6.20%,"9,941","2,707",27%,178,BWS
Ashley Hotel,Melbourne,"6,740,000",6.50%,"8,082","1,610",20%,207,Ashley Hotel Bottleshop
Sandringham Hotel,Melbourne,"8,780,000",5.75%,"6,943","5,417",78%,46,BWS
Royal Exchange Hotel,Tralagon,"4,300,000",6.20%,"6,465","2,731",42%,100,DM
Club Hotel,Melbourne,"9,140,000",6.20%,"6,384","1,855",29%,133,BWS
Mac's Hotel,Melton,"10,900,000",6.79%,"6,084","2,071",34%,103,BWS
Cramers Hotel,Melbourne,"14,270,000",6.45%,"6,042","2,711",45%,102,BWS
Mitcham Hotel,Melbourne,"13,130,000",6.81%,"5,820","2,189",38%,82,BWS
Boundary Hotel,Melbourne,"19,840,000",6.95%,"4,916","1,932",39%,88,BWS
Tudor Inn Hotel,Melbourne,"8,960,000",6.54%,"4,789","2,026",42%,65,BWS
Olinda Creek Hotel,Lilydale,"6,370,000",6.75%,"4,575","1,813",40%,66,BWS
Berwick Inn,Melbourne,"17,340,000",7.50%,"4,166","1,390",33%,40,N
Pier Hotel/21st Century,Melbourne,"12,350,000",6.75%,"4,154","3,152",76%, -   ,N
Blue Bell Hotel,Wendouree,"3,920,000",6.00%,"3,689","1,351",37%,40,BWS
Victoria Hotel,Shepparton,"4,500,000",6.20%,"2,470","1,787",72%, -   ,BWS
Young & Jacksons Hotel,Melbourne,"9,760,000",5.46%,529,529,100%, -   ,N
Plough Hotel,Melbourne,"12,230,000",7.50%,315,315,100%, -   ,BWS
Balmoral,Perth,"6,050,000",7.34%,"2,769",917,33%,20,N
Queens Tavern,Perth,"7,700,000",6.58%,"2,360",617,26%,45,N
Sail & Anchor Pub Brewery,Fremantle,"4,480,000",6.71%,686,686,100%, -   ,Sail & Anchor Bottleshop
Brass Monkey,Perth,"8,040,000",6.75%,675,609,90%, -   ,N